Mês/Ano,Região,Estado,Produção Etanol Hidratado(m³),Produção Etanol Anidro (m³)
11/2018,SUDESTE,São Paulo,674439,241056
11/2018,SUL,Paraná,112962,37076
11/2018,SUL,Rio Grande do Sul,0,
10/2018,CENTRO OESTE,Goiás,432137,63656
10/2018,CENTRO OESTE,Mato Grosso,126597,61483
10/2018,CENTRO OESTE,Mato Grosso do Sul,191755,69835
10/2018,NORDESTE,Alagoas,61491,31549
10/2018,NORDESTE,Bahia,23451,15098
10/2018,NORDESTE,Maranhão,2522,19113
10/2018,NORDESTE,Paraíba,41926,31718
10/2018,NORDESTE,Pernambuco,67518,26774
10/2018,NORDESTE,Piauí,4579,4139
10/2018,NORDESTE,Rio Grande do Norte,19451,4766
10/2018,NORDESTE,Sergipe,17595,2651
10/2018,NORTE,Amazonas,2391,
10/2018,NORTE,Pará,1829,6607
10/2018,NORTE,Rondônia,240,
10/2018,NORTE,Tocantins,6470,13471
10/2018,SUDESTE,Espírito Santo,3593,11741
10/2018,SUDESTE,Minas Gerais,287331,78362
10/2018,SUDESTE,Rio de Janeiro,17056,
10/2018,SUDESTE,São Paulo,969034,441979
10/2018,SUL,Paraná,83055,30938
10/2018,SUL,Rio Grande do Sul,478,
09/2018,CENTRO OESTE,Goiás,565324,79836
09/2018,CENTRO OESTE,Mato Grosso,137758,74838
09/2018,CENTRO OESTE,Mato Grosso do Sul,240435,81013
09/2018,NORDESTE,Alagoas,28292,11083
09/2018,NORDESTE,Bahia,29657,11246
09/2018,NORDESTE,Maranhão,3774,21232
09/2018,NORDESTE,Paraíba,45794,22523
09/2018,NORDESTE,Pernambuco,50616,9909
09/2018,NORDESTE,Piauí,2654,2876
09/2018,NORDESTE,Rio Grande do Norte,18073,2800
09/2018,NORDESTE,Sergipe,2792,502
09/2018,NORTE,Amazonas,511,
09/2018,NORTE,Pará,2280,5650
09/2018,NORTE,Rondônia,369,
09/2018,NORTE,Tocantins,7628,16058
09/2018,SUDESTE,Espírito Santo,4317,16138
09/2018,SUDESTE,Minas Gerais,339863,125362
09/2018,SUDESTE,Rio de Janeiro,23103,
09/2018,SUDESTE,São Paulo,1346550,671009
09/2018,SUL,Paraná,128402,51265
09/2018,SUL,Rio Grande do Sul,646,
08/2018,CENTRO OESTE,Goiás,648079,89927
08/2018,CENTRO OESTE,Mato Grosso,143378,90542
08/2018,CENTRO OESTE,Mato Grosso do Sul,301482,102642
08/2018,NORDESTE,Alagoas,2928,1749
08/2018,NORDESTE,Bahia,27479,12951
08/2018,NORDESTE,Maranhão,6963,25981
08/2018,NORDESTE,Paraíba,34240,15410
08/2018,NORDESTE,Pernambuco,10714,219
08/2018,NORDESTE,Piauí,98,4131
08/2018,NORDESTE,Rio Grande do Norte,3643,968
08/2018,NORTE,Amazonas,1317,
08/2018,NORTE,Pará,2000,5166
08/2018,NORTE,Rondônia,382,
08/2018,NORTE,Tocantins,11692,13879
08/2018,SUDESTE,Espírito Santo,4355,15525
08/2018,SUDESTE,Minas Gerais,376690,132773
08/2018,SUDESTE,Rio de Janeiro,23067,
08/2018,SUDESTE,São Paulo,1492165,809910
08/2018,SUL,Paraná,121214,67855
08/2018,SUL,Rio Grande do Sul,810,
07/2018,CENTRO OESTE,Goiás,609755,122109
07/2018,CENTRO OESTE,Mato Grosso,116640,113985
07/2018,CENTRO OESTE,Mato Grosso do Sul,391884,132042
07/2018,NORDESTE,Bahia,23213,13018
07/2018,NORDESTE,Maranhão,7380,26053
07/2018,NORDESTE,Paraíba,5520,1127
07/2018,NORDESTE,Piauí,3246,3172
07/2018,NORDESTE,Rio Grande do Norte,576,
07/2018,NORTE,Amazonas,106,
07/2018,NORTE,Pará,965,5020
07/2018,NORTE,Rondônia,160,
07/2018,NORTE,Tocantins,17776,5724
07/2018,SUDESTE,Espírito Santo,3632,17380
07/2018,SUDESTE,Minas Gerais,385127,134729
07/2018,SUDESTE,Rio de Janeiro,21103,
07/2018,SUDESTE,São Paulo,1695895,946693
07/2018,SUL,Paraná,179514,105187
07/2018,SUL,Rio Grande do Sul,256,
06/2018,CENTRO OESTE,Goiás,557848,109643
06/2018,CENTRO OESTE,Mato Grosso,117108,93768
06/2018,CENTRO OESTE,Mato Grosso do Sul,331323,93626
06/2018,NORDESTE,Bahia,20578,9796
06/2018,NORDESTE,Maranhão,3687,14528
06/2018,NORDESTE,Pernambuco,9,
06/2018,NORDESTE,Piauí,629,876
06/2018,NORTE,Pará,441,2447
06/2018,NORTE,Tocantins,11877,10315
06/2018,SUDESTE,Espírito Santo,2423,14067
06/2018,SUDESTE,Minas Gerais,321601,137906
06/2018,SUDESTE,Rio de Janeiro,2165,
06/2018,SUDESTE,São Paulo,1572391,884754
06/2018,SUL,Paraná,143219,80828
05/2018,CENTRO OESTE,Goiás,446855,71086
05/2018,CENTRO OESTE,Mato Grosso,103360,90198
05/2018,CENTRO OESTE,Mato Grosso do Sul,265673,57184
05/2018,NORDESTE,Bahia,17469,5395
05/2018,NORDESTE,Maranhão,4,2077
05/2018,NORTE,Tocantins,7732,7852
05/2018,SUDESTE,Espírito Santo,1861,11013
05/2018,SUDESTE,Minas Gerais,274064,120720
05/2018,SUDESTE,São Paulo,1439583,716881
05/2018,SUL,Paraná,123320,67837
05/2018,SUL,Rio Grande do Sul,1,
04/2018,CENTRO OESTE,Goiás,233273,30798
04/2018,CENTRO OESTE,Mato Grosso,79029,28904
04/2018,CENTRO OESTE,Mato Grosso do Sul,250233,78552
04/2018,NORDESTE,Alagoas,2524,1642
04/2018,NORDESTE,Bahia,5006,772
04/2018,NORDESTE,Paraíba,8775,
04/2018,NORDESTE,Pernambuco,4571,80
04/2018,NORTE,Tocantins,5266,
04/2018,SUDESTE,Espírito Santo,1536,365
04/2018,SUDESTE,Minas Gerais,218215,64624
04/2018,SUDESTE,São Paulo,1181314,351775
04/2018,SUL,Paraná,125250,56634
03/2018,CENTRO OESTE,Goiás,31051,
03/2018,CENTRO OESTE,Mato Grosso,44389,11702
03/2018,CENTRO OESTE,Mato Grosso do Sul,97579,19655
03/2018,NORDESTE,Alagoas,10741,12450
03/2018,NORDESTE,Paraíba,4740,6828
03/2018,NORDESTE,Pernambuco,12042,1804
03/2018,NORDESTE,Rio Grande do Norte,2746,1167
03/2018,NORDESTE,Sergipe,1859,1840
03/2018,SUDESTE,Minas Gerais,37623,2321
03/2018,SUDESTE,São Paulo,319852,19960
03/2018,SUL,Paraná,19438,14965
02/2018,CENTRO OESTE,Goiás,26906,
02/2018,CENTRO OESTE,Mato Grosso,38526,8827
02/2018,CENTRO OESTE,Mato Grosso do Sul,47800,1235
02/2018,NORDESTE,Alagoas,20386,25397
02/2018,NORDESTE,Paraíba,5290,13954
02/2018,NORDESTE,Pernambuco,32348,4715
02/2018,NORDESTE,Rio Grande do Norte,4703,1556
02/2018,NORDESTE,Sergipe,5571,3242
02/2018,SUDESTE,São Paulo,11584,789
02/2018,SUL,Paraná,7361,91
02/2018,SUL,Rio Grande do Sul,1,
01/2018,CENTRO OESTE,Goiás,14205,3052
01/2018,CENTRO OESTE,Mato Grosso,56053,3800
01/2018,CENTRO OESTE,Mato Grosso do Sul,21394,8357
01/2018,NORDESTE,Alagoas,23501,47953
01/2018,NORDESTE,Paraíba,27881,28472
01/2018,NORDESTE,Pernambuco,40062,17235
01/2018,NORDESTE,Rio Grande do Norte,9163,4415
01/2018,NORDESTE,Sergipe,12063,4430
01/2018,SUDESTE,São Paulo,3745,1402
01/2018,SUL,Paraná,1367,
12/2017,CENTRO OESTE,Goiás,45233,12283
12/2017,CENTRO OESTE,Mato Grosso,52707,3117
12/2017,CENTRO OESTE,Mato Grosso do Sul,64294,15058
12/2017,NORDESTE,Alagoas,22233,50845
12/2017,NORDESTE,Bahia,1054,
12/2017,NORDESTE,Maranhão,8,2424
12/2017,NORDESTE,Paraíba,34087,32805
12/2017,NORDESTE,Pernambuco,41693,29278
12/2017,NORDESTE,Rio Grande do Norte,8024,5676
12/2017,NORDESTE,Sergipe,11877,6780
12/2017,NORTE,Pará,1015,2740
12/2017,NORTE,Rondônia,34,
12/2017,NORTE,Tocantins,417,
12/2017,SUDESTE,Espírito Santo,751,765
12/2017,SUDESTE,Minas Gerais,27821,2483
12/2017,SUDESTE,São Paulo,286779,110830
12/2017,SUL,Paraná,55251,20572
11/2017,CENTRO OESTE,Goiás,247076,61823
11/2017,CENTRO OESTE,Mato Grosso,78042,17570
11/2017,CENTRO OESTE,Mato Grosso do Sul,137580,52666
11/2017,NORDESTE,Alagoas,17084,44266
11/2017,NORDESTE,Bahia,12634,7716
11/2017,NORDESTE,Maranhão,1275,12194
11/2017,NORDESTE,Paraíba,36875,30072
11/2017,NORDESTE,Pernambuco,44650,21001
11/2017,NORDESTE,Piauí,7,2415
11/2017,NORDESTE,Rio Grande do Norte,5781,7621
11/2017,NORDESTE,Sergipe,9300,6589
11/2017,NORTE,Amazonas,946,
11/2017,NORTE,Pará,1511,7429
11/2017,NORTE,Rondônia,171,
11/2017,NORTE,Tocantins,5663,10097
11/2017,SUDESTE,Espírito Santo,2261,8021
11/2017,SUDESTE,Minas Gerais,140181,62850
11/2017,SUDESTE,Rio de Janeiro,243,
11/2017,SUDESTE,São Paulo,552965,420693
11/2017,SUL,Paraná,85580,38767
11/2017,SUL,Rio Grande do Sul,1,
10/2017,CENTRO OESTE,Goiás,475831,134684
10/2017,CENTRO OESTE,Mato Grosso,123049,57866
10/2017,CENTRO OESTE,Mato Grosso do Sul,166466,91792
10/2017,NORDESTE,Alagoas,11480,26301
10/2017,NORDESTE,Bahia,15705,15054
10/2017,NORDESTE,Maranhão,1851,21415
10/2017,NORDESTE,Paraíba,30433,34226
10/2017,NORDESTE,Pernambuco,40153,13579
10/2017,NORDESTE,Piauí,31,5032
10/2017,NORDESTE,Rio Grande do Norte,7235,9262
10/2017,NORDESTE,Sergipe,5498,1155
10/2017,NORTE,Amazonas,739,
10/2017,NORTE,Pará,954,8117
10/2017,NORTE,Rondônia,500,
10/2017,NORTE,Tocantins,8994,17271
10/2017,SUDESTE,Espírito Santo,2151,13103
10/2017,SUDESTE,Minas Gerais,241256,126007
10/2017,SUDESTE,Rio de Janeiro,7023,
10/2017,SUDESTE,São Paulo,856772,766669
10/2017,SUL,Paraná,59422,55498
10/2017,SUL,Rio Grande do Sul,274,
09/2017,CENTRO OESTE,Goiás,564423,176097
09/2017,CENTRO OESTE,Mato Grosso,103628,97030
09/2017,CENTRO OESTE,Mato Grosso do Sul,243240,157709
09/2017,NORDESTE,Alagoas,3245,2505
09/2017,NORDESTE,Bahia,15489,14036
09/2017,NORDESTE,Maranhão,2111,29039
09/2017,NORDESTE,Paraíba,29631,24158
09/2017,NORDESTE,Pernambuco,15364,3737
09/2017,NORDESTE,Piauí,,3805
09/2017,NORDESTE,Rio Grande do Norte,7341,2335
09/2017,NORTE,Amazonas,585,
09/2017,NORTE,Pará,470,7455
09/2017,NORTE,Rondônia,624,
09/2017,NORTE,Tocantins,11992,13276
09/2017,SUDESTE,Espírito Santo,1700,11381
09/2017,SUDESTE,Minas Gerais,285156,150770
09/2017,SUDESTE,Rio de Janeiro,11790,
09/2017,SUDESTE,São Paulo,1147260,1001942
09/2017,SUL,Paraná,116997,104624
09/2017,SUL,Rio Grande do Sul,722,
08/2017,CENTRO OESTE,Goiás,572889,173664
08/2017,CENTRO OESTE,Mato Grosso,103324,102945
08/2017,CENTRO OESTE,Mato Grosso do Sul,220581,134963
08/2017,NORDESTE,Bahia,13971,13445
08/2017,NORDESTE,Maranhão,7617,28368
08/2017,NORDESTE,Paraíba,23297,13976
08/2017,NORDESTE,Pernambuco,1521,954
08/2017,NORDESTE,Piauí,785,2961
08/2017,NORDESTE,Rio Grande do Norte,2140,
08/2017,NORTE,Amazonas,1986,
08/2017,NORTE,Pará,868,7657
08/2017,NORTE,Rondônia,687,
08/2017,NORTE,Tocantins,8322,19478
08/2017,SUDESTE,Espírito Santo,2057,13033
08/2017,SUDESTE,Minas Gerais,274237,146006
08/2017,SUDESTE,Rio de Janeiro,13260,
08/2017,SUDESTE,São Paulo,966358,873595
08/2017,SUL,Paraná,78466,79768
08/2017,SUL,Rio Grande do Sul,902,
07/2017,CENTRO OESTE,Goiás,622853,258438
07/2017,CENTRO OESTE,Mato Grosso,110911,98228
07/2017,CENTRO OESTE,Mato Grosso do Sul,292488,164048
07/2017,NORDESTE,Bahia,16133,7823
07/2017,NORDESTE,Maranhão,2538,27389
07/2017,NORDESTE,Paraíba,2443,1202
07/2017,NORDESTE,Piauí,,4148
07/2017,NORDESTE,Sergipe,,22
07/2017,NORTE,Amazonas,589,
07/2017,NORTE,Pará,492,6950
07/2017,NORTE,Rondônia,762,
07/2017,NORTE,Tocantins,5277,18866
07/2017,SUDESTE,Espírito Santo,695,9560
07/2017,SUDESTE,Minas Gerais,243004,155906
07/2017,SUDESTE,Rio de Janeiro,11141,
07/2017,SUDESTE,São Paulo,1052387,1068289
07/2017,SUL,Paraná,98468,117221
07/2017,SUL,Rio Grande do Sul,597,
06/2017,CENTRO OESTE,Goiás,469122,154361
06/2017,CENTRO OESTE,Mato Grosso,86575,88583
06/2017,CENTRO OESTE,Mato Grosso do Sul,186136,110129
06/2017,NORDESTE,Alagoas,179,
06/2017,NORDESTE,Bahia,13854,6708
06/2017,NORDESTE,Maranhão,3484,16593
06/2017,NORDESTE,Piauí,,1219
06/2017,NORTE,Pará,2776,3183
06/2017,NORTE,Rondônia,879,
06/2017,NORTE,Tocantins,6441,16173
06/2017,SUDESTE,Espírito Santo,2530,9572
06/2017,SUDESTE,Minas Gerais,190264,166138
06/2017,SUDESTE,Rio de Janeiro,6254,
06/2017,SUDESTE,São Paulo,884415,927815
06/2017,SUL,Paraná,64124,64063
05/2017,CENTRO OESTE,Goiás,384387,135431
05/2017,CENTRO OESTE,Mato Grosso,78360,78554
05/2017,CENTRO OESTE,Mato Grosso do Sul,162863,67954
05/2017,NORDESTE,Bahia,14237,9042
05/2017,NORDESTE,Maranhão,639,5515
05/2017,NORTE,Rondônia,577,
05/2017,NORTE,Tocantins,8082,16158
05/2017,SUDESTE,Espírito Santo,834,9942
05/2017,SUDESTE,Minas Gerais,157339,119423
05/2017,SUDESTE,Rio de Janeiro,4145,
05/2017,SUDESTE,São Paulo,751890,727361
05/2017,SUL,Paraná,64348,52617
04/2017,CENTRO OESTE,Goiás,208909,55863
04/2017,CENTRO OESTE,Mato Grosso,52266,12729
04/2017,CENTRO OESTE,Mato Grosso do Sul,129066,45152
04/2017,NORDESTE,Alagoas,143,2189
04/2017,NORDESTE,Bahia,2980,890
04/2017,NORDESTE,Maranhão,6,
04/2017,NORTE,Rondônia,223,
04/2017,NORTE,Tocantins,5320,4446
04/2017,SUDESTE,Espírito Santo,291,1999
04/2017,SUDESTE,Minas Gerais,121892,71142
04/2017,SUDESTE,Rio de Janeiro,36,
04/2017,SUDESTE,São Paulo,590384,321719
04/2017,SUL,Paraná,52395,30796
03/2017,CENTRO OESTE,Goiás,51959,6071
03/2017,CENTRO OESTE,Mato Grosso,24577,920
03/2017,CENTRO OESTE,Mato Grosso do Sul,89374,30290
03/2017,NORDESTE,Alagoas,1160,13794
03/2017,NORDESTE,Maranhão,93,
03/2017,NORDESTE,Paraíba,340,2446
03/2017,NORDESTE,Pernambuco,2916,
03/2017,NORDESTE,Rio Grande do Norte,2215,
03/2017,NORTE,Rondônia,73,
03/2017,SUDESTE,Minas Gerais,18821,1490
03/2017,SUDESTE,São Paulo,207286,134870
03/2017,SUL,Paraná,22709,22781
02/2017,CENTRO OESTE,Goiás,37161,6253
02/2017,CENTRO OESTE,Mato Grosso,14821,2088
02/2017,CENTRO OESTE,Mato Grosso do Sul,40872,11835
02/2017,NORDESTE,Alagoas,10222,31333
02/2017,NORDESTE,Paraíba,630,4535
02/2017,NORDESTE,Pernambuco,16061,5372
02/2017,NORDESTE,Rio Grande do Norte,2503,16
02/2017,NORDESTE,Sergipe,4784,2260
02/2017,NORTE,Rondônia,151,
02/2017,SUDESTE,Minas Gerais,1564,
02/2017,SUDESTE,São Paulo,39205,19577
02/2017,SUL,Paraná,4056,2656
01/2017,CENTRO OESTE,Goiás,18913,1050
01/2017,CENTRO OESTE,Mato Grosso,26198,991
01/2017,CENTRO OESTE,Mato Grosso do Sul,38657,14849
01/2017,NORDESTE,Alagoas,20218,54683
01/2017,NORDESTE,Paraíba,18073,10406
01/2017,NORDESTE,Pernambuco,18171,27105
01/2017,NORDESTE,Rio Grande do Norte,4443,1757
01/2017,NORDESTE,Sergipe,7910,7561
01/2017,NORTE,Rondônia,221,
01/2017,SUDESTE,Minas Gerais,1619,38
01/2017,SUDESTE,São Paulo,19479,14292
01/2017,SUL,Paraná,190,
